note;serial_number;retired;is_broken;owner;inventory_pool;building;room;properties_installation_status;model
SN-FJC28011087.net.zhdk.ch;FJC28011087;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9200CX-12P
GEA-BN1.net.zhdk.ch;FOC2544YS1K;FALSE;FALSE;ITZ_Network;ITZ_Network;Gessnerallee;general room;inStorage;Catalyst 9300-48UXM
GEA-BN1.net.zhdk.ch;FOC2547Y4L4;FALSE;FALSE;ITZ_Network;ITZ_Network;Gessnerallee;general room;inStorage;Catalyst 9300-48UXM
SN-FJC280217E8.net.zhdk.ch;FJC280217E8;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9200CX-12P
TAA-A01-00.net.zhdk.ch;FOC2712Z0DV;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-A02-01.net.zhdk.ch;FOC2712Z0BU;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-A03-02.net.zhdk.ch;FOC2712Z0HD;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-A04-03.net.zhdk.ch;FOC2712Z0DR;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-A04-03.net.zhdk.ch;FOC2713Y05T;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-A05-04.net.zhdk.ch;FOC2712Z0Q1;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-A05-04.net.zhdk.ch;FOC2712Z0D0;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-A05-04.net.zhdk.ch;FOC2638YP71;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-A06-05.net.zhdk.ch;FOC2713Y5T4;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-A06-05.net.zhdk.ch;FOC2712Z0MM;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-A06-05.net.zhdk.ch;FOC2638YMDG;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-A06-09.net.zhdk.ch;FOC2547Y47N;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-A06-09.net.zhdk.ch;FOC2547Y4FF;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-A07-06.net.zhdk.ch;FVH2740L0KE;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-A07-06.net.zhdk.ch;FOC2713Y5TN;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-A07-06.net.zhdk.ch;FOC2713Y8WT;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-A08-07.net.zhdk.ch;FVH2740L0K2;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-A08-07.net.zhdk.ch;FVH2740L0JC;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-A08-07.net.zhdk.ch;FVH2740L0JE;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-A09-08.net.zhdk.ch;FOC2713Y096;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-A09-08.net.zhdk.ch;FOC2713Y03N;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-AT-IN1.net.zhdk.ch;CAT2402L65P;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;installed;Catalyst 9500-48Y4C
TAA-B01-00.net.zhdk.ch;FOC2712Z0DM;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-B01-00.net.zhdk.ch;FOC2712Z0MK;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
